NÃºmero;SÃ©rie;Data de emissÃ£o;SituaÃ§Ã£o;Natureza;DescriÃ§Ã£o;CÃ³digo;Quantidade;Valor unitÃ¡rio;Valor total;Nome da Loja;CÃ³digo no fornecedor;Nome;Marca;;SÃ©rie;Data de emissÃ£o;SituaÃ§Ã£o;Natureza;DescriÃ§Ã£o;CÃ³digo;Quantidade;Valor unitÃ¡rio;Valor total;Nome da Loja;;;SÃ©rie;Data de emissÃ£o;SituaÃ§Ã£o;Natureza;DescriÃ§Ã£o;CÃ³digo;Quantidade;Valor unitÃ¡rio;Valor total;Nome da Loja;Nome
211752;1;01/06/2026 08:12;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Fixador de Pedras Hold Stone 1L;HS0000001;1;142,12;142,12;EOV - Mercado Livre;HS0000001;IVA QUIMICA DO BRASIL LTDA;HOLD STONE;;1;01/06/2026 14:37;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Tira Tintas Cristal 500ML;TR00000500;1;107,89;107,89;Obramil - Mercado livre;;;1;02/06/2026 08:33;Emitida DANFE;Venda de mercadoria a nÃ£o contribuinte;LT Shine Pigmento Uma Gota 50ML Preto;UG04010050;1;31,78;31,78;Shopee - Construlivre;VIP COLLECTION COMERCIO E DISTRIBUIDORA LTDA
211753;1;01/06/2026 08:14;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Conversor de Ferrugem Ultrafer 1L - Pulo do Gato;PUF0400001;1;136,47;136,47;EOV - Mercado Livre;FER0400001;IVA QUIMICA DO BRASIL LTDA;PULO DO GATO;;1;01/06/2026 14:47;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Smart Coat Brilhante 1L Transfix;LP010001;1;77,3;77,3;Obramil - Mercado livre;;;1;02/06/2026 08:33;Emitida DANFE;Venda de mercadoria a nÃ£o contribuinte;LT Shine Pigmento Uma Gota 50ML Amarelo;UG04820050;1;31,78;31,78;Shopee - Construlivre;IVA QUIMICA DO BRASIL LTDA
211754;1;01/06/2026 08:14;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Hobby Art Perfect Glass Monocomponente 100G;PM0000101;1;70,49;70,49;EOV - Mercado Livre;PM0000101;IVA QUIMICA DO BRASIL LTDA;HOBBY ART;;1;02/06/2026 10:15;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Hobby Art Decora Pinta Tudo 250ML Areia Intensa;DPT04767025;1;67,74;67,74;Shopee Novo;;;1;02/06/2026 08:33;Emitida DANFE;Venda de mercadoria a nÃ£o contribuinte;Cimento EgÃ­pcio Estrutural Branco 25KG;CIM000001;1;142,37;142,37;Mercado Livre - Construlivre;IVA QUIMICA DO BRASIL LTDA
211755;1;01/06/2026 08:15;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Removick Removedor de Transfer 150ml;RT00150;1;27,71;27,71;Eov Shopee 2026;RT00150;IVA QUIMICA DO BRASIL LTDA;TRANSFIX;;1;02/06/2026 10:15;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Rejunte AcrÃ­lico 420G Palha - Pulo do Gato;PRA0440420;1;38,51;38,51;Obramil - Mercado livre;;;1;02/06/2026 08:33;Emitida DANFE;Venda de mercadoria a nÃ£o contribuinte;Massa Efeito Marmorite 4kg+primer Gelo 1kg+cera+pasta Cobre;KITMARM8;1;613,79;613,79;Mercado Livre - Construlivre;IVA QUIMICA DO BRASIL LTDA
211756;1;01/06/2026 08:17;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Removick Removedor de Transfer 150ml;RT00150;1;27,71;27,71;Eov Shopee 2026;RT00150;IVA QUIMICA DO BRASIL LTDA;TRANSFIX;;1;02/06/2026 10:15;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;KIT Transfix Primer Laser TF100 + TF200 + TF300 (150ML) + TF Clean 200ML;KITTF0001;1;239,9;239,9;Shopee Novo;;;2;02/06/2026 13:13;Autorizada;Venda de mercadoria a nÃ£o contribuinte;Selante Para Juntas Cimenticias Dw240 Flex 420g Cinza;SE2440142;1;100;100;Mercado Livre - Construlivre;-
211757;1;01/06/2026 08:18;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Esmalte MarÃ­timo Sobre Ferrugem 900G Preto Fosco - Pulo do Gato;EMF044109;1;62,28;62,28;Eov Shopee 2026;EMF044109;IVA QUIMICA DO BRASIL LTDA;O PULO DO GATO;;1;02/06/2026 10:15;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;KIT Smart Resina 900ML + Massa Fina Seca Parede 4KG + Smart Color Fosco Branco 3,6L;KTMSM0929;1;589;589;Shopee Novo;;;2;02/06/2026 14:22;Autorizada;Venda de mercadoria a nÃ£o contribuinte;Selante Para Juntas Cimenticias Dw240 Flex 420g Cinza;SE2440142;3;100;300;Mercado Livre - Construlivre;-
211758;1;01/06/2026 08:20;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Removick Removedor de Transfer 150ml;RT00150;1;27,71;27,71;Eov Shopee 2026;RT00150;IVA QUIMICA DO BRASIL LTDA;TRANSFIX;;1;02/06/2026 10:15;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Cola para Madeira Wood Wood 3 - 1,1KG;WD0000012;1;206,26;206,26;Shopee Novo;;;1;02/06/2026 14:53;Emitida DANFE;Venda de mercadoria a nÃ£o contribuinte;LT Shine Pasta Metalizada 200G Ouro;MP0081902;1;99,69;99,69;Mercado Livre - Construlivre;IVA QUIMICA DO BRASIL LTDA
211759;1;01/06/2026 08:21;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Tech Cola Bloco - Argamassa Pronta para Assentamento 2,5KG Pulo do Gato;CLB00001025;1;24,96;24,96;EOV - Mercado Livre;CLB00001025;IVA QUIMICA DO BRASIL LTDA;PULO DO GATO;;1;02/06/2026 10:15;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Cola Piso VinÃ­lico E Emborrachado AC10000 1KG;AC1000301;1;107,35;107,35;Obramil - Mercado livre;;;2;02/06/2026 15:31;Autorizada;Venda de mercadoria a nÃ£o contribuinte;Aditivo Retardante De Pega Sos Gesso Perfect Finish 250ml Branco;SF04001250;1;64,69;64,69;Mercado Livre - Construlivre;IVA QUIMICA DO BRASIL LTDA
211760;1;01/06/2026 08:21;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Removick Removedor de Transfer 150ml;RT00150;1;27,71;27,71;Eov Shopee 2026;RT00150;IVA QUIMICA DO BRASIL LTDA;TRANSFIX;;1;02/06/2026 10:15;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Wood Wood Massa Flex Reparo Facil para Madeira 90G Cumaru;WM0474290;1;75,23;75,23;Obramil - Mercado livre;;;1;03/06/2026 10:02;Emitida DANFE;Venda de mercadoria a nÃ£o contribuinte;Hold Stone Clean Tool Limpador de Espatula 1L;HCT00001;1;249,51;249,51;Shopee - Construlivre;VIP COLLECTION COMERCIO E DISTRIBUIDORA LTDA
211761;1;01/06/2026 08:22;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Removick Removedor de Transfer 150ml;RT00150;1;27,71;27,71;Eov Shopee 2026;RT00150;IVA QUIMICA DO BRASIL LTDA;TRANSFIX;;1;02/06/2026 10:15;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;KIT 2x Fixador de Pedras Hold Stone 1L + Borrifador Manual de CompressÃ£o PrÃ©via 2L Bestfer;KITBHS01;1;177,99;177,99;Obramil - Mercado livre;;;1;03/06/2026 10:02;Emitida DANFE;Venda de mercadoria a nÃ£o contribuinte;LT Shine Primer Universal 1KG Gelo;LP0400210;1;166,19;166,19;Shopee - Construlivre;VIP COLLECTION COMERCIO E DISTRIBUIDORA LTDA
